PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Survived,Prediction
948,3,1,35.0,0,0,7.8958,0,0
949,3,1,25.0,0,0,7.65,0,0
950,3,1,29.69911764705882,1,0,16.1,0,0
951,1,0,36.0,0,0,262.375,1,1
952,3,1,17.0,0,0,7.8958,0,0
953,2,1,32.0,0,0,13.5,0,0
954,3,1,18.0,0,0,7.75,0,0
955,3,0,22.0,0,0,7.725,1,1
956,1,1,13.0,2,2,262.375,0,1
957,2,0,29.69911764705882,0,0,21.0,1,1
958,3,0,18.0,0,0,7.8792,1,1
959,1,1,47.0,0,0,42.4,0,0
960,1,1,31.0,0,0,28.5375,0,0
961,1,0,60.0,1,4,263.0,1,1
962,3,0,24.0,0,0,7.75,1,1
963,3,1,21.0,0,0,7.8958,0,0
964,3,0,29.0,0,0,7.925,1,0
965,1,1,28.5,0,0,27.7208,0,0
966,1,0,35.0,0,0,211.5,1,1
967,1,1,32.5,0,0,211.5,0,0
968,3,1,29.69911764705882,0,0,8.05,0,0
969,1,0,55.0,2,0,25.7,1,1
970,2,1,30.0,0,0,13.0,0,0
971,3,0,24.0,0,0,7.75,1,1
972,3,1,6.0,1,1,15.2458,0,1
973,1,1,67.0,1,0,221.7792,0,0
974,1,1,49.0,0,0,26.0,0,0
975,3,1,29.69911764705882,0,0,7.8958,0,0
976,2,1,29.69911764705882,0,0,10.7083,0,0
977,3,1,29.69911764705882,1,0,14.4542,0,0
978,3,0,27.0,0,0,7.8792,1,1
979,3,0,18.0,0,0,8.05,1,1
980,3,0,29.69911764705882,0,0,7.75,1,1
981,2,1,2.0,1,1,23.0,0,1
982,3,0,22.0,1,0,13.9,1,1
983,3,1,29.69911764705882,0,0,7.775,0,0
984,1,0,27.0,1,2,52.0,1,0
985,3,1,29.69911764705882,0,0,8.05,0,0
986,1,1,25.0,0,0,26.0,0,0
987,3,1,25.0,0,0,7.7958,0,0
988,1,0,76.0,1,0,78.85,1,1
989,3,1,29.0,0,0,7.925,0,0
990,3,0,20.0,0,0,7.8542,1,1
991,3,1,33.0,0,0,8.05,0,0
992,1,0,43.0,1,0,55.4417,1,1
993,2,1,27.0,1,0,26.0,0,0
994,3,1,29.69911764705882,0,0,7.75,0,0
995,3,1,26.0,0,0,7.775,0,0
996,3,0,16.0,1,1,8.5167,1,1
997,3,1,28.0,0,0,22.525,0,0
998,3,1,21.0,0,0,7.8208,0,0
999,3,1,29.69911764705882,0,0,7.75,0,0
1000,3,1,29.69911764705882,0,0,8.7125,0,0
1001,2,1,18.5,0,0,13.0,0,0
1002,2,1,41.0,0,0,15.0458,0,0
1003,3,0,29.69911764705882,0,0,7.7792,1,1
1004,1,0,36.0,0,0,31.6792,1,1
1005,3,0,18.5,0,0,7.2833,1,1
1006,1,0,63.0,1,0,221.7792,1,1
1007,3,1,18.0,1,0,14.4542,0,0
1008,3,1,29.69911764705882,0,0,6.4375,0,0
1009,3,0,1.0,1,1,16.7,1,1
1010,1,1,36.0,0,0,75.2417,0,0
1011,2,0,29.0,1,0,26.0,1,1
1012,2,0,12.0,0,0,15.75,1,1
1013,3,1,29.69911764705882,1,0,7.75,0,0
1014,1,0,35.0,1,0,57.75,1,1
1015,3,1,28.0,0,0,7.25,0,0
1016,3,1,29.69911764705882,0,0,7.75,0,0
1017,3,0,17.0,0,1,16.1,1,1
1018,3,1,22.0,0,0,7.7958,0,0
1019,3,0,29.69911764705882,2,0,23.25,1,1
1020,2,1,42.0,0,0,13.0,0,0
1021,3,1,24.0,0,0,8.05,0,0
1022,3,1,32.0,0,0,8.05,0,0
1023,1,1,53.0,0,0,28.5,0,0
1024,3,0,29.69911764705882,0,4,25.4667,1,0
1025,3,1,29.69911764705882,1,0,6.4375,0,0
1026,3,1,43.0,0,0,7.8958,0,0
1027,3,1,24.0,0,0,7.8542,0,0
1028,3,1,26.5,0,0,7.225,0,0
1029,2,1,26.0,0,0,13.0,0,0
1030,3,0,23.0,0,0,8.05,1,0
1031,3,1,40.0,1,6,46.9,0,0
1032,3,0,10.0,5,2,46.9,1,0
1033,1,0,33.0,0,0,151.55,1,1
1034,1,1,61.0,1,3,262.375,0,0
1035,2,1,28.0,0,0,26.0,0,0
1036,1,1,42.0,0,0,26.55,0,1
1037,3,1,31.0,3,0,18.0,0,0
1038,1,1,29.69911764705882,0,0,51.8625,0,0
1039,3,1,22.0,0,0,8.05,0,0
1040,1,1,29.69911764705882,0,0,26.55,0,1
1041,2,1,30.0,1,1,26.0,0,0
1042,1,0,23.0,0,1,83.1583,1,1
1043,3,1,29.69911764705882,0,0,7.8958,0,0
1044,3,1,60.5,0,0,14.4542,0,0
1045,3,0,36.0,0,2,12.1833,1,1
1046,3,1,13.0,4,2,31.3875,0,0
1047,3,1,24.0,0,0,7.55,0,0
1048,1,0,29.0,0,0,221.7792,1,1
1049,3,0,23.0,0,0,7.8542,1,1
1050,1,1,42.0,0,0,26.55,0,1
1051,3,0,26.0,0,2,13.775,1,1
1052,3,0,29.69911764705882,0,0,7.7333,1,1
1053,3,1,7.0,1,1,15.2458,0,1
1054,2,0,26.0,0,0,13.5,1,1
1055,3,1,29.69911764705882,0,0,7.0,0,0
1056,2,1,41.0,0,0,13.0,0,0
1057,3,0,26.0,1,1,22.025,1,1
1058,1,1,48.0,0,0,50.4958,0,0
1059,3,1,18.0,2,2,34.375,0,0
1060,1,0,29.69911764705882,0,0,27.7208,1,1
1061,3,0,22.0,0,0,8.9625,1,0
1062,3,1,29.69911764705882,0,0,7.55,0,0
1063,3,1,27.0,0,0,7.225,0,0
1064,3,1,23.0,1,0,13.9,0,0
1065,3,1,29.69911764705882,0,0,7.2292,0,0
1066,3,1,40.0,1,5,31.3875,0,0
1067,2,0,15.0,0,2,39.0,1,1
1068,2,0,20.0,0,0,36.75,1,1
1069,1,1,54.0,1,0,55.4417,0,0
1070,2,0,36.0,0,3,39.0,1,1
1071,1,0,64.0,0,2,83.1583,1,1
1072,2,1,30.0,0,0,13.0,0,0
1073,1,1,37.0,1,1,83.1583,0,0
1074,1,0,18.0,1,0,53.1,1,1
1075,3,1,29.69911764705882,0,0,7.75,0,0
1076,1,0,27.0,1,1,247.5208,1,1
1077,2,1,40.0,0,0,16.0,0,0
1078,2,0,21.0,0,1,21.0,1,1
1079,3,1,17.0,2,0,8.05,0,0
1080,3,0,29.69911764705882,8,2,69.55,1,0
1081,2,1,40.0,0,0,13.0,0,0
1082,2,1,34.0,1,0,26.0,0,0
1083,1,1,29.69911764705882,0,0,26.0,0,0
1084,3,1,11.5,1,1,14.5,0,1
1085,2,1,61.0,0,0,12.35,0,0
1086,2,1,8.0,0,2,32.5,0,1
1087,3,1,33.0,0,0,7.8542,0,0
1088,1,1,6.0,0,2,134.5,0,1
1089,3,0,18.0,0,0,7.775,1,1
1090,2,1,23.0,0,0,10.5,0,0
1091,3,0,29.69911764705882,0,0,8.1125,1,0
1092,3,0,29.69911764705882,0,0,15.5,1,1
1093,3,1,0.33,0,2,14.4,0,1
1094,1,1,47.0,1,0,227.525,0,0
1095,2,0,8.0,1,1,26.0,1,1
1096,2,1,25.0,0,0,10.5,0,0
1097,1,1,29.69911764705882,0,0,25.7417,0,0
1098,3,0,35.0,0,0,7.75,1,0
1099,2,1,24.0,0,0,10.5,0,0
1100,1,0,33.0,0,0,27.7208,1,1
1101,3,1,25.0,0,0,7.8958,0,0
1102,3,1,32.0,0,0,22.525,0,0
1103,3,1,29.69911764705882,0,0,7.05,0,0
1104,2,1,17.0,0,0,73.5,0,0
1105,2,0,60.0,1,0,26.0,1,1
1106,3,0,38.0,4,2,7.775,1,0
1107,1,1,42.0,0,0,42.5,0,0
1108,3,0,29.69911764705882,0,0,7.8792,1,1
1109,1,1,57.0,1,1,164.8667,0,0
1110,1,0,50.0,1,1,211.5,1,1
1111,3,1,29.69911764705882,0,0,8.05,0,0
1112,2,0,30.0,1,0,13.8583,1,1
1113,3,1,21.0,0,0,8.05,0,0
1114,2,0,22.0,0,0,10.5,1,1
1115,3,1,21.0,0,0,7.7958,0,0
1116,1,0,53.0,0,0,27.4458,1,1
1117,3,0,29.69911764705882,0,2,15.2458,1,1
1118,3,1,23.0,0,0,7.7958,0,0
1119,3,0,29.69911764705882,0,0,7.75,1,1
1120,3,1,40.5,0,0,15.1,0,0
1121,2,1,36.0,0,0,13.0,0,0
1122,2,1,14.0,0,0,65.0,0,0
1123,1,0,21.0,0,0,26.55,1,1
1124,3,1,21.0,1,0,6.4958,0,0
1125,3,1,29.69911764705882,0,0,7.8792,0,0
1126,1,1,39.0,1,0,71.2833,0,0
1127,3,1,20.0,0,0,7.8542,0,0
1128,1,1,64.0,1,0,75.25,0,0
1129,3,1,20.0,0,0,7.225,0,0
1130,2,0,18.0,1,1,13.0,1,1
1131,1,0,48.0,1,0,106.425,1,1
1132,1,0,55.0,0,0,27.7208,1,1
1133,2,0,45.0,0,2,30.0,1,1
1134,1,1,45.0,1,1,134.5,0,0
1135,3,1,29.69911764705882,0,0,7.8875,0,0
1136,3,1,29.69911764705882,1,2,23.45,0,0
1137,1,1,41.0,1,0,51.8625,0,0
1138,2,0,22.0,0,0,21.0,1,1
1139,2,1,42.0,1,1,32.5,0,0
1140,2,0,29.0,1,0,26.0,1,1
1141,3,0,29.69911764705882,1,0,14.4542,1,1
1142,2,0,0.92,1,2,27.75,1,1
1143,3,1,20.0,0,0,7.925,0,0
1144,1,1,27.0,1,0,136.7792,0,0
1145,3,1,24.0,0,0,9.325,0,0
1146,3,1,32.5,0,0,9.5,0,0
1147,3,1,29.69911764705882,0,0,7.55,0,0
1148,3,1,29.69911764705882,0,0,7.75,0,0
1149,3,1,28.0,0,0,8.05,0,0
1150,2,0,19.0,0,0,13.0,1,1
1151,3,1,21.0,0,0,7.775,0,0
1152,3,1,36.5,1,0,17.4,0,0
1153,3,1,21.0,0,0,7.8542,0,0
1154,2,0,29.0,0,2,23.0,1,1
1155,3,0,1.0,1,1,12.1833,1,1
1156,2,1,30.0,0,0,12.7375,0,0
1157,3,1,29.69911764705882,0,0,7.8958,0,0
1158,1,1,29.69911764705882,0,0,0.0,0,0
1159,3,1,29.69911764705882,0,0,7.55,0,0
1160,3,0,29.69911764705882,0,0,8.05,1,0
1161,3,1,17.0,0,0,8.6625,0,0
1162,1,1,46.0,0,0,75.2417,0,0
1163,3,1,29.69911764705882,0,0,7.75,0,0
1164,1,0,26.0,1,0,136.7792,1,1
1165,3,0,29.69911764705882,1,0,15.5,1,1
1166,3,1,29.69911764705882,0,0,7.225,0,0
1167,2,0,20.0,1,0,26.0,1,1
1168,2,1,28.0,0,0,10.5,0,0
1169,2,1,40.0,1,0,26.0,0,0
1170,2,1,30.0,1,0,21.0,0,0
1171,2,1,22.0,0,0,10.5,0,0
1172,3,0,23.0,0,0,8.6625,1,0
1173,3,1,0.75,1,1,13.775,0,1
1174,3,0,29.69911764705882,0,0,7.75,1,1
1175,3,0,9.0,1,1,15.2458,1,1
1176,3,0,2.0,1,1,20.2125,1,1
1177,3,1,36.0,0,0,7.25,0,0
1178,3,1,29.69911764705882,0,0,7.25,0,0
1179,1,1,24.0,1,0,82.2667,0,0
1180,3,1,29.69911764705882,0,0,7.2292,0,0
1181,3,1,29.69911764705882,0,0,8.05,0,0
1182,1,1,29.69911764705882,0,0,39.6,0,0
1183,3,0,30.0,0,0,6.95,1,1
1184,3,1,29.69911764705882,0,0,7.2292,0,0
1185,1,1,53.0,1,1,81.8583,0,0
1186,3,1,36.0,0,0,9.5,0,0
1187,3,1,26.0,0,0,7.8958,0,0
1188,2,0,1.0,1,2,41.5792,1,1
1189,3,1,29.69911764705882,2,0,21.6792,0,0
1190,1,1,30.0,0,0,45.5,0,0
1191,3,1,29.0,0,0,7.8542,0,0
1192,3,1,32.0,0,0,7.775,0,0
1193,2,1,29.69911764705882,0,0,15.0458,0,0
1194,2,1,43.0,0,1,21.0,0,0
1195,3,1,24.0,0,0,8.6625,0,0
1196,3,0,29.69911764705882,0,0,7.75,1,1
1197,1,0,64.0,1,1,26.55,1,1
1198,1,1,30.0,1,2,151.55,0,0
1199,3,1,0.83,0,1,9.35,0,1
1200,1,1,55.0,1,1,93.5,0,0
1201,3,0,45.0,1,0,14.1083,1,0
1202,3,1,18.0,0,0,8.6625,0,0
1203,3,1,22.0,0,0,7.225,0,0
1204,3,1,29.69911764705882,0,0,7.575,0,0
1205,3,0,37.0,0,0,7.75,1,0
1206,1,0,55.0,0,0,135.6333,1,1
1207,3,0,17.0,0,0,7.7333,1,1
1208,1,1,57.0,1,0,146.5208,0,0
1209,2,1,19.0,0,0,10.5,0,0
1210,3,1,27.0,0,0,7.8542,0,0
1211,2,1,22.0,2,0,31.5,0,0
1212,3,1,26.0,0,0,7.775,0,0
1213,3,1,25.0,0,0,7.2292,0,0
1214,2,1,26.0,0,0,13.0,0,0
1215,1,1,33.0,0,0,26.55,0,1
1216,1,0,39.0,0,0,211.3375,1,1
1217,3,1,23.0,0,0,7.05,0,0
1218,2,0,12.0,2,1,39.0,1,1
1219,1,1,46.0,0,0,79.2,0,0
1220,2,1,29.0,1,0,26.0,0,0
1221,2,1,21.0,0,0,13.0,0,0
1222,2,0,48.0,0,2,36.75,1,1
1223,1,1,39.0,0,0,29.7,0,0
1224,3,1,29.69911764705882,0,0,7.225,0,0
1225,3,0,19.0,1,1,15.7417,1,1
1226,3,1,27.0,0,0,7.8958,0,0
1227,1,1,30.0,0,0,26.0,0,0
1228,2,1,32.0,0,0,13.0,0,0
1229,3,1,39.0,0,2,7.2292,0,0
1230,2,1,25.0,0,0,31.5,0,0
1231,3,1,29.69911764705882,0,0,7.2292,0,0
1232,2,1,18.0,0,0,10.5,0,0
1233,3,1,32.0,0,0,7.5792,0,0
1234,3,1,29.69911764705882,1,9,69.55,0,0
1235,1,0,58.0,0,1,512.3292,1,1
1236,3,1,29.69911764705882,1,1,14.5,0,0
1237,3,0,16.0,0,0,7.65,1,1
1238,2,1,26.0,0,0,13.0,0,0
1239,3,0,38.0,0,0,7.2292,1,0
1240,2,1,24.0,0,0,13.5,0,0
1241,2,0,31.0,0,0,21.0,1,1
1242,1,0,45.0,0,1,63.3583,1,1
1243,2,1,25.0,0,0,10.5,0,0
1244,2,1,18.0,0,0,73.5,0,0
1245,2,1,49.0,1,2,65.0,0,0
1246,3,0,0.17,1,2,20.575,1,1
1247,1,1,50.0,0,0,26.0,0,0
1248,1,0,59.0,2,0,51.4792,1,1
1249,3,1,29.69911764705882,0,0,7.8792,0,0
1250,3,1,29.69911764705882,0,0,7.75,0,0
1251,3,0,30.0,1,0,15.55,1,1
1252,3,1,14.5,8,2,69.55,0,0
1253,2,0,24.0,1,1,37.0042,1,1
1254,2,0,31.0,0,0,21.0,1,1
1255,3,1,27.0,0,0,8.6625,0,0
1256,1,0,25.0,1,0,55.4417,1,1
1257,3,0,29.69911764705882,1,9,69.55,1,1
1258,3,1,29.69911764705882,1,0,14.4583,0,0
1259,3,0,22.0,0,0,39.6875,1,1
1260,1,0,45.0,0,1,59.4,1,1
1261,2,1,29.0,0,0,13.8583,0,0
1262,2,1,21.0,1,0,11.5,0,0
1263,1,0,31.0,0,0,134.5,1,1
1264,1,1,49.0,0,0,0.0,0,0
1265,2,1,44.0,0,0,13.0,0,0
1266,1,0,54.0,1,1,81.8583,1,1
1267,1,0,45.0,0,0,262.375,1,1
1268,3,0,22.0,2,0,8.6625,1,0
1269,2,1,21.0,0,0,11.5,0,0
1270,1,1,55.0,0,0,50.0,0,0
1271,3,1,5.0,4,2,31.3875,0,1
1272,3,1,29.69911764705882,0,0,7.75,0,0
1273,3,1,26.0,0,0,7.8792,0,0
1274,3,0,29.69911764705882,0,0,14.5,1,1
1275,3,0,19.0,1,0,16.1,1,1
1276,2,1,29.69911764705882,0,0,12.875,0,0
1277,2,0,24.0,1,2,65.0,1,1
1278,3,1,24.0,0,0,7.775,0,0
1279,2,1,57.0,0,0,13.0,0,0
1280,3,1,21.0,0,0,7.75,0,0
1281,3,1,6.0,3,1,21.075,0,0
1282,1,1,23.0,0,0,93.5,0,0
1283,1,0,51.0,0,1,39.4,1,1
1284,3,1,13.0,0,2,20.25,0,1
1285,2,1,47.0,0,0,10.5,0,0
1286,3,1,29.0,3,1,22.025,0,0
1287,1,0,18.0,1,0,60.0,1,1
1288,3,1,24.0,0,0,7.25,0,0
1289,1,0,48.0,1,1,79.2,1,1
1290,3,1,22.0,0,0,7.775,0,0
1291,3,1,31.0,0,0,7.7333,0,0
1292,1,0,30.0,0,0,164.8667,1,1
1293,2,1,38.0,1,0,21.0,0,0
1294,1,0,22.0,0,1,59.4,1,1
1295,1,1,17.0,0,0,47.1,0,1
1296,1,1,43.0,1,0,27.7208,0,0
1297,2,1,20.0,0,0,13.8625,0,0
1298,2,1,23.0,1,0,10.5,0,0
1299,1,1,50.0,1,1,211.5,0,0
1300,3,0,29.69911764705882,0,0,7.7208,1,1
1301,3,0,3.0,1,1,13.775,1,1
1302,3,0,29.69911764705882,0,0,7.75,1,1
1303,1,0,37.0,1,0,90.0,1,1
1304,3,0,28.0,0,0,7.775,1,1
1305,3,1,29.69911764705882,0,0,8.05,0,0
1306,1,0,39.0,0,0,108.9,1,1
1307,3,1,38.5,0,0,7.25,0,0
1308,3,1,29.69911764705882,0,0,8.05,0,0
1309,3,1,29.69911764705882,1,1,22.3583,0,0
